month,symbol,side
2019-03,FOXA,pierre_only
2019-03,GEN,pierre_only
2019-03,GL,pierre_only
2019-03,J,pierre_only
2019-03,LHX,pierre_only
2019-03,LLL,pierre_only
2019-03,LUMN,pierre_only
2019-03,META,pierre_only
2019-03,MRSH,pierre_only
2019-03,PSKY,pierre_only
2019-03,RTX,pierre_only
2019-03,RVTY,pierre_only
2019-03,SW,pierre_only
2019-03,TFC,pierre_only
2019-03,TT,pierre_only
2019-03,VTRS,pierre_only
2019-03,WTW,pierre_only
2019-04,ABC,hans_only
2019-04,ANTM,hans_only
2019-04,BBT,hans_only
2019-04,BF-B,hans_only
2019-04,BLL,hans_only
2019-04,BRK-B,hans_only
2019-04,CBS,hans_only
2019-04,COG,hans_only
2019-04,CTL,hans_only
2019-04,FB,hans_only
2019-04,FLT,hans_only
2019-04,HRS,hans_only
2019-04,JEC,hans_only
2019-04,LB,hans_only
2019-04,MMC,hans_only
2019-04,MYL,hans_only
2019-04,PKI,hans_only
2019-04,RE,hans_only
2019-04,SYMC,hans_only
2019-04,TMK,hans_only
2019-04,UTX,hans_only
2019-04,WLTW,hans_only
2019-04,WRK,hans_only
2019-04,AGN,pierre_only
2019-04,ARNC,pierre_only
2019-04,BALL,pierre_only
2019-04,BBWI,pierre_only
2019-04,BF/B,pierre_only
2019-04,BKR,pierre_only
2019-04,BRK/B,pierre_only
2019-04,COR,pierre_only
2019-04,CPAY,pierre_only
2019-04,CTRA,pierre_only
2019-04,DAY,pierre_only
2019-04,DOC,pierre_only
2019-04,DOW,pierre_only
2019-04,EG,pierre_only
2019-04,ELV,pierre_only
2019-04,FOX,pierre_only
2019-04,FOXA,pierre_only
2019-04,GEN,pierre_only
2019-04,GL,pierre_only
2019-04,J,pierre_only
2019-04,LHX,pierre_only
2019-04,LLL,pierre_only
2019-04,LUMN,pierre_only
2019-04,META,pierre_only
2019-04,MRSH,pierre_only
2019-04,PSKY,pierre_only
2019-04,RTX,pierre_only
2019-04,RVTY,pierre_only
2019-04,SW,pierre_only
2019-04,TFC,pierre_only
2019-04,TT,pierre_only
2019-04,VTRS,pierre_only
2019-04,WTW,pierre_only
2019-05,ABC,hans_only
2019-05,ANTM,hans_only
2019-05,BBT,hans_only
2019-05,BF-B,hans_only
2019-05,BLL,hans_only
2019-05,BRK-B,hans_only
2019-05,CBS,hans_only
2019-05,COG,hans_only
2019-05,CTL,hans_only
2019-05,FB,hans_only
2019-05,FLT,hans_only
2019-05,HRS,hans_only
2019-05,JEC,hans_only
2019-05,LB,hans_only
2019-05,MMC,hans_only
2019-05,MYL,hans_only
2019-05,PKI,hans_only
2019-05,RE,hans_only
2019-05,SYMC,hans_only
2019-05,TMK,hans_only
2019-05,UTX,hans_only
2019-05,WLTW,hans_only
